名前,ふりがな,アドレス,性別,年齢,誕生日,婚姻,都道府県,携帯,キャリア,カレーの食べ方
中原 光良,なかはら てるよし,nakahara_teruyoshi@example.com,男,35,1982/2/22,既婚,東京都,080-9882-4759,ドコモ,奥ルー・ルー攻め派
岡村 俊二,おかむら しゅんじ,okamura_shunji@example.com,男,69,1948/2/2,既婚,岡山県,080-9394-3732,ドコモ,手前ルー・せき止め派
富田 はるみ,とみた はるみ,tomita_harumi@example.com,女,30,1987/2/7,既婚,岐阜県,080-9886-9441,ツーカー,右ルー・ルー攻め派
新垣 翔太,にいがき しょうた,niigaki_shouta@example.com,男,73,1943/12/5,既婚,愛知県,080-7997-1033,ドコモ,左ルー・混ぜ混ぜ派
小倉 豊,おぐら ゆたか,ogura_yutaka@example.com,男,21,1996/10/23,未婚,広島県,090-2681-9536,ドコモ,奥ルー・別口派
勝又 愛子,かつまた あいこ,katsumata_aiko@example.com,女,24,1993/8/17,既婚,鹿児島県,080-3647-3202,ソフトバンク,手前ルー・ルー攻め派
松崎 知世,まつざき ちせ,matsuzaki_chise@example.com,女,62,1955/1/12,既婚,兵庫県,080-8498-6937,ドコモ,ぶっかけ・混ぜ混ぜ派
山野 ひとり,やまの ひとり,yamano_hitori@example.com,男,51,1965/12/31,既婚,福岡県,090-2560- 684,au,手前ルー・せき止め派
中野 真一,なかの しんいち,nakano_shinichi@example.com,男,30,1987/1/22,既婚,和歌山県,080-2291-5078,ドコモ,右ルー・混ぜ混ぜ派
塩見 広司,しおみ こうじ,shiomi_kouji@example.com,男,30,1987/9/9,既婚,沖縄県,080-7302-4722,ソフトバンク,左ルー・せき止め派
玉山 育二,たまやま いくじ,tamayama_ikuji@example.com,男,57,1959/11/27,既婚,栃木県,090-9353-7250,ドコモ,左ルー・別口派
彼方 茜,かなた あかね,kanata_akane@example.com,女,79,1938/6/1,既婚,鳥取県,090-1491- 831,ソフトバンク,ぶっかけ・混ぜ混ぜ派
